value               ,footprint                                                  ,datasheet                                                                                                                     ,libsource/_lib       ,libsource/_part     ,libsource/_description                                                                                                                                                          ,sheetpath/_names ,sheetpath/_tstamps ,tstamp   ,_ref
330                 ,Resistor_SMD:R_0805_2012Metric                             ,~                                                                                                                             ,Device               ,R_Small             ,"Resistor, small symbol"                                                                                                                                                        ,/                ,/                  ,605BC6EC ,R2
330                 ,Resistor_SMD:R_0805_2012Metric                             ,~                                                                                                                             ,Device               ,R_Small             ,"Resistor, small symbol"                                                                                                                                                        ,/                ,/                  ,605BC891 ,R3
330                 ,Resistor_SMD:R_0805_2012Metric                             ,~                                                                                                                             ,Device               ,R_Small             ,"Resistor, small symbol"                                                                                                                                                        ,/                ,/                  ,605BEE42 ,R1
ATtiny85-20PU       ,Package_DIP:DIP-8_W7.62mm                                  ,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf ,MCU_Microchip_ATtiny ,ATtiny85-20PU       ,"20MHz, 8kB Flash, 512B SRAM, 512B EEPROM, debugWIRE, DIP-8"                                                                                                                    ,/                ,/                  ,605C8024 ,U1
Battery_Cell        ,Battery:BatteryHolder_Keystone_1060_1x2032                 ,~                                                                                                                             ,Device               ,Battery_Cell        ,Single-cell battery                                                                                                                                                             ,/                ,/                  ,605C94D8 ,BT1
SW_SPST             ,                                                           ,~                                                                                                                             ,Switch               ,SW_SPST             ,Single Pole Single Throw (SPST) switch                                                                                                                                          ,/                ,/                  ,605CCA2F ,SW1
330                 ,Resistor_SMD:R_0805_2012Metric                             ,~                                                                                                                             ,Device               ,R_Small             ,"Resistor, small symbol"                                                                                                                                                        ,/                ,/                  ,605D9851 ,R4
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605DF866 ,D3
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605DFE4C ,D5
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E024D ,D4
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E06AD ,D2
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E09F9 ,D1
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E1145 ,D8
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E1716 ,D7
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E661D ,D12
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E6AA2 ,D11
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E8113 ,D10
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E8380 ,D9
LED_Small           ,LED_SMD:LED_0805_2012Metric                                ,~                                                                                                                             ,Device               ,LED_Small           ,"Light emitting diode, small symbol"                                                                                                                                            ,/                ,/                  ,605E9F91 ,D6
Conn_02x03_Odd_Even ,Connector_PinSocket_2.00mm:PinSocket_2x03_P2.00mm_Vertical ,~                                                                                                                             ,Connector_Generic    ,Conn_02x03_Odd_Even ,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)" ,/                ,/                  ,605EDF67 ,J1
